board,current_player,all_legal_moves,best_move,best_score,is_maximizing,turn,game_result
fcfffffffffffffffefffffffffffffffbfffffffffffffffafffffffffffffff9fffffffffffffffafffffffffffffffbfffffffffffffffefffffffffffffffcffffffffffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fdffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000fdffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000002000000000000000400000000000000,1,"[((6, 0), (7, 0)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((6, 8), (7, 8)), ((7, 1), (7, 2)), ((7, 1), (7, 3)), ((7, 1), (7, 4)), ((7, 1), (7, 5)), ((7, 1), (7, 6)), ((7, 1), (7, 0)), ((7, 1), (8, 1)), ((7, 1), (6, 1)), ((7, 1), (5, 1)), ((7, 1), (4, 1)), ((7, 1), (3, 1)), ((7, 1), (0, 1)), ((7, 7), (7, 8)), ((7, 7), (7, 6)), ((7, 7), (7, 5)), ((7, 7), (7, 4)), ((7, 7), (7, 3)), ((7, 7), (7, 2)), ((7, 7), (8, 7)), ((7, 7), (6, 7)), ((7, 7), (5, 7)), ((7, 7), (4, 7)), ((7, 7), (3, 7)), ((7, 7), (0, 7)), ((9, 0), (8, 0)), ((9, 0), (7, 0)), ((9, 1), (7, 2)), ((9, 1), (7, 0)), ((9, 2), (7, 0)), ((9, 2), (7, 4)), ((9, 3), (8, 4)), ((9, 4), (8, 4)), ((9, 5), (8, 4)), ((9, 6), (7, 4)), ((9, 6), (7, 8)), ((9, 7), (7, 8)), ((9, 7), (7, 6)), ((9, 8), (8, 8)), ((9, 8), (7, 8))]","(7, 1),(0, 1)",-44.0,True,1,RED (Minimax)
fcffffffffffffff0300000000000000fbfffffffffffffffafffffffffffffff9fffffffffffffffafffffffffffffffbffffffffffffff0000000000000000fcffffffffffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000fefffffffffffffffdffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000002000000000000000400000000000000,1,"[((0, 1), (0, 3)), ((0, 1), (1, 1)), ((6, 0), (7, 0)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((6, 8), (7, 8)), ((7, 7), (7, 8)), ((7, 7), (7, 6)), ((7, 7), (7, 5)), ((7, 7), (7, 4)), ((7, 7), (7, 3)), ((7, 7), (7, 2)), ((7, 7), (7, 1)), ((7, 7), (7, 0)), ((7, 7), (8, 7)), ((7, 7), (6, 7)), ((7, 7), (5, 7)), ((7, 7), (4, 7)), ((7, 7), (3, 7)), ((9, 0), (8, 0)), ((9, 0), (7, 0)), ((9, 1), (7, 2)), ((9, 1), (7, 0)), ((9, 2), (7, 0)), ((9, 2), (7, 4)), ((9, 3), (8, 4)), ((9, 4), (8, 4)), ((9, 5), (8, 4)), ((9, 6), (7, 4)), ((9, 6), (7, 8)), ((9, 7), (7, 8)), ((9, 7), (7, 6)), ((9, 8), (8, 8)), ((9, 8), (7, 8))]","(0, 1),(0, 3)",303.0,True,3,RED (Minimax)
fcffffffffffffff0000000000000000fbffffffffffffff0300000000000000f9fffffffffffffffafffffffffffffffbffffffffffffff0000000000000000fcffffffffffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fdffffffffffffff00000000000000000000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000feffffffffffffff00000000000000000000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000002000000000000000400000000000000,1,"[((0, 3), (0, 5)), ((0, 3), (0, 0)), ((0, 3), (1, 3)), ((0, 3), (2, 3)), ((0, 3), (3, 3)), ((0, 3), (4, 3)), ((0, 3), (5, 3)), ((0, 3), (6, 3)), ((0, 3), (7, 3)), ((0, 3), (8, 3)), ((6, 0), (7, 0)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((6, 8), (7, 8)), ((7, 7), (7, 8)), ((7, 7), (7, 6)), ((7, 7), (7, 5)), ((7, 7), (7, 4)), ((7, 7), (7, 3)), ((7, 7), (7, 2)), ((7, 7), (7, 1)), ((7, 7), (7, 0)), ((7, 7), (8, 7)), ((7, 7), (6, 7)), ((7, 7), (5, 7)), ((7, 7), (4, 7)), ((7, 7), (3, 7)), ((7, 7), (2, 7)), ((9, 0), (8, 0)), ((9, 0), (7, 0)), ((9, 1), (7, 2)), ((9, 1), (7, 0)), ((9, 2), (7, 0)), ((9, 2), (7, 4)), ((9, 3), (8, 4)), ((9, 4), (8, 4)), ((9, 5), (8, 4)), ((9, 6), (7, 4)), ((9, 6), (7, 8)), ((9, 7), (7, 8)), ((9, 7), (7, 6)), ((9, 8), (8, 8)), ((9, 8), (7, 8))]","(0, 3),(0, 0)",1818.0,True,5,RED (Minimax)
03000000000000000000000000000000fbffffffffffffff00000000000000000000000000000000fafffffffffffffffbffffffffffffff0000000000000000fcffffffffffffff0000000000000000000000000000000000000000000000000000000000000000f9ffffffffffffff00000000000000000000000000000000fdffffffffffffff00000000000000000000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000feffffffffffffff00000000000000000000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000002000000000000000400000000000000,1,"[((0, 0), (0, 1)), ((0, 0), (0, 5)), ((0, 0), (1, 0)), ((0, 0), (2, 0)), ((6, 0), (7, 0)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((6, 8), (7, 8)), ((7, 7), (7, 8)), ((7, 7), (7, 6)), ((7, 7), (7, 5)), ((7, 7), (7, 4)), ((7, 7), (7, 3)), ((7, 7), (7, 2)), ((7, 7), (7, 1)), ((7, 7), (7, 0)), ((7, 7), (8, 7)), ((7, 7), (6, 7)), ((7, 7), (5, 7)), ((7, 7), (4, 7)), ((7, 7), (3, 7)), ((7, 7), (2, 7)), ((9, 0), (8, 0)), ((9, 0), (7, 0)), ((9, 1), (7, 2)), ((9, 1), (7, 0)), ((9, 2), (7, 0)), ((9, 2), (7, 4)), ((9, 3), (8, 4)), ((9, 4), (8, 4)), ((9, 5), (8, 4)), ((9, 6), (7, 4)), ((9, 6), (7, 8)), ((9, 7), (7, 8)), ((9, 7), (7, 6)), ((9, 8), (8, 8)), ((9, 8), (7, 8))]","(9, 7),(7, 6)",1803.0,True,7,RED (Minimax)
03000000000000000000000000000000fbffffffffffffff00000000000000000000000000000000fafffffffffffffffbffffffffffffff0000000000000000fcffffffffffffff0000000000000000000000000000000000000000000000000000000000000000f9ffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000feffffffffffffff00000000000000000000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000000000000000000000400000000000000,1,"[((0, 0), (0, 1)), ((0, 0), (0, 5)), ((0, 0), (1, 0)), ((0, 0), (2, 0)), ((6, 0), (7, 0)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 8), (7, 8)), ((7, 6), (9, 7)), ((7, 6), (8, 4)), ((7, 7), (7, 8)), ((7, 7), (8, 7)), ((7, 7), (9, 7)), ((7, 7), (6, 7)), ((7, 7), (5, 7)), ((9, 0), (8, 0)), ((9, 0), (7, 0)), ((9, 1), (7, 2)), ((9, 1), (7, 0)), ((9, 2), (7, 0)), ((9, 2), (7, 4)), ((9, 3), (8, 4)), ((9, 4), (8, 4)), ((9, 5), (8, 4)), ((9, 6), (7, 4)), ((9, 6), (7, 8)), ((9, 8), (9, 7)), ((9, 8), (8, 8)), ((9, 8), (7, 8))]","(7, 6),(8, 4)",1793.0,True,9,RED (Minimax)
03000000000000000000000000000000fbffffffffffffff00000000000000000000000000000000fafffffffffffffffbffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f9ffffffffffffff000000000000000000000000000000000000000000000000fcffffffffffffff0000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000feffffffffffffff00000000000000000000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000000000000000000000400000000000000,1,"[((0, 0), (0, 1)), ((0, 0), (0, 5)), ((0, 0), (1, 0)), ((0, 0), (2, 0)), ((6, 0), (7, 0)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((6, 8), (7, 8)), ((7, 7), (7, 8)), ((7, 7), (7, 6)), ((7, 7), (7, 5)), ((7, 7), (7, 4)), ((7, 7), (7, 3)), ((7, 7), (7, 2)), ((7, 7), (7, 1)), ((7, 7), (7, 0)), ((7, 7), (8, 7)), ((7, 7), (9, 7)), ((7, 7), (6, 7)), ((7, 7), (5, 7)), ((8, 4), (6, 5)), ((8, 4), (6, 3)), ((8, 4), (7, 6)), ((8, 4), (7, 2)), ((9, 0), (8, 0)), ((9, 0), (7, 0)), ((9, 1), (7, 2)), ((9, 1), (7, 0)), ((9, 2), (7, 0)), ((9, 2), (7, 4)), ((9, 6), (7, 4)), ((9, 6), (7, 8)), ((9, 8), (9, 7)), ((9, 8), (8, 8)), ((9, 8), (7, 8))]","(9, 0),(7, 0)",1798.0,True,11,RED (Minimax)
03000000000000000000000000000000fbffffffffffffff00000000000000000000000000000000fafffffffffffffffbffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f9ffffffffffffff000000000000000000000000000000000000000000000000fcffffffffffffff0000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000feffffffffffffff0000000000000000000000000000000000000000000000000000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffffffffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000000000000000000000400000000000000,1,"[((0, 0), (0, 1)), ((0, 0), (0, 5)), ((0, 0), (1, 0)), ((0, 0), (2, 0)), ((0, 0), (3, 0)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((6, 8), (7, 8)), ((7, 0), (7, 1)), ((7, 0), (7, 2)), ((7, 0), (7, 3)), ((7, 0), (7, 4)), ((7, 0), (7, 5)), ((7, 0), (7, 6)), ((7, 0), (8, 0)), ((7, 0), (9, 0)), ((7, 7), (7, 8)), ((7, 7), (7, 6)), ((7, 7), (7, 5)), ((7, 7), (7, 4)), ((7, 7), (7, 3)), ((7, 7), (7, 2)), ((7, 7), (7, 1)), ((7, 7), (8, 7)), ((7, 7), (9, 7)), ((7, 7), (6, 7)), ((7, 7), (5, 7)), ((8, 4), (6, 5)), ((8, 4), (6, 3)), ((8, 4), (7, 6)), ((8, 4), (7, 2)), ((9, 1), (7, 2)), ((9, 2), (7, 4)), ((9, 6), (7, 4)), ((9, 6), (7, 8)), ((9, 8), (9, 7)), ((9, 8), (8, 8)), ((9, 8), (7, 8))]","(9, 8),(7, 8)",1813.0,True,13,RED (Minimax)
03000000000000000000000000000000fbffffffffffffff00000000000000000000000000000000fafffffffffffffffbffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f9ffffffffffffff000000000000000000000000000000000000000000000000fcffffffffffffff0000000000000000fdffffffffffffff0000000000000000000000000000000000000000000000000000000000000000feffffffffffffff0000000000000000000000000000000000000000000000000000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000fdffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000000000000000000000000000000000000,1,"[((0, 0), (0, 1)), ((0, 0), (0, 5)), ((0, 0), (1, 0)), ((0, 0), (2, 0)), ((0, 0), (3, 0)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((7, 0), (7, 1)), ((7, 0), (7, 2)), ((7, 0), (7, 3)), ((7, 0), (7, 4)), ((7, 0), (7, 5)), ((7, 0), (7, 6)), ((7, 0), (8, 0)), ((7, 0), (9, 0)), ((7, 7), (7, 6)), ((7, 7), (7, 5)), ((7, 7), (7, 4)), ((7, 7), (7, 3)), ((7, 7), (7, 2)), ((7, 7), (7, 1)), ((7, 7), (8, 7)), ((7, 7), (9, 7)), ((7, 7), (6, 7)), ((7, 7), (5, 7)), ((7, 7), (4, 7)), ((7, 7), (3, 7)), ((7, 7), (2, 7)), ((7, 7), (1, 7)), ((7, 7), (0, 7)), ((7, 8), (8, 8)), ((7, 8), (9, 8)), ((8, 4), (6, 5)), ((8, 4), (6, 3)), ((8, 4), (7, 6)), ((8, 4), (7, 2)), ((9, 1), (7, 2)), ((9, 2), (7, 4)), ((9, 6), (7, 4))]","(7, 7),(3, 7)",1830.0,True,15,RED (Minimax)
03000000000000000000000000000000fbffffffffffffff00000000000000000000000000000000fafffffffffffffffbfffffffffffffffeffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000f9ffffffffffffff000000000000000000000000000000000000000000000000fcffffffffffffff0000000000000000fdffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0300000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000fdffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000000000000000000000000000000000000,1,"[((0, 0), (0, 1)), ((0, 0), (0, 5)), ((0, 0), (1, 0)), ((0, 0), (2, 0)), ((0, 0), (3, 0)), ((3, 7), (3, 4)), ((3, 7), (4, 7)), ((3, 7), (5, 7)), ((3, 7), (6, 7)), ((3, 7), (7, 7)), ((3, 7), (8, 7)), ((3, 7), (9, 7)), ((3, 7), (2, 7)), ((3, 7), (1, 7)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((7, 0), (7, 1)), ((7, 0), (7, 2)), ((7, 0), (7, 3)), ((7, 0), (7, 4)), ((7, 0), (7, 5)), ((7, 0), (7, 6)), ((7, 0), (7, 7)), ((7, 0), (8, 0)), ((7, 0), (9, 0)), ((7, 8), (7, 7)), ((7, 8), (7, 6)), ((7, 8), (7, 5)), ((7, 8), (7, 4)), ((7, 8), (7, 3)), ((7, 8), (7, 2)), ((7, 8), (7, 1)), ((7, 8), (8, 8)), ((7, 8), (9, 8)), ((8, 4), (6, 5)), ((8, 4), (6, 3)), ((8, 4), (7, 6)), ((8, 4), (7, 2)), ((9, 1), (7, 2)), ((9, 2), (7, 4)), ((9, 6), (7, 4))]","(0, 0),(0, 5)",2038.0,True,17,RED (Minimax)
00000000000000000000000000000000fbffffffffffffff000000000000000000000000000000000300000000000000fbfffffffffffffffeffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000f9ffffffffffffff0000000000000000fcffffffffffffff000000000000000000000000000000000000000000000000fdffffffffffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0000000000000000ffffffffffffffff0300000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000fdffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000500000000000000060000000000000007000000000000000600000000000000050000000000000000000000000000000000000000000000,1,"[((0, 5), (0, 7)), ((0, 5), (0, 4)), ((0, 5), (0, 3)), ((0, 5), (1, 5)), ((0, 5), (2, 5)), ((0, 5), (3, 5)), ((0, 5), (4, 5)), ((0, 5), (5, 5)), ((0, 5), (6, 5)), ((0, 5), (7, 5)), ((0, 5), (8, 5)), ((3, 7), (3, 4)), ((3, 7), (4, 7)), ((3, 7), (5, 7)), ((3, 7), (6, 7)), ((3, 7), (7, 7)), ((3, 7), (8, 7)), ((3, 7), (9, 7)), ((3, 7), (2, 7)), ((3, 7), (1, 7)), ((6, 2), (7, 2)), ((6, 4), (7, 4)), ((6, 6), (7, 6)), ((7, 0), (7, 1)), ((7, 0), (7, 2)), ((7, 0), (7, 3)), ((7, 0), (7, 4)), ((7, 0), (7, 5)), ((7, 0), (7, 6)), ((7, 0), (7, 7)), ((7, 0), (8, 0)), ((7, 0), (9, 0)), ((7, 8), (7, 7)), ((7, 8), (7, 6)), ((7, 8), (7, 5)), ((7, 8), (7, 4)), ((7, 8), (7, 3)), ((7, 8), (7, 2)), ((7, 8), (7, 1)), ((7, 8), (8, 8)), ((7, 8), (9, 8)), ((8, 4), (6, 5)), ((8, 4), (6, 3)), ((8, 4), (7, 6)), ((8, 4), (7, 2)), ((9, 1), (7, 2)), ((9, 2), (7, 4)), ((9, 6), (7, 4))]","(0, 5),(0, 7)",2524.0,True,19,RED (Minimax)
